"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 06, 2019","3,195.6","3,369.0","3,628.4","3,112.8","96.19K","-5.15%"
"Jan 13, 2019","3,274.8","3,195.6","3,324.7","3,077.7","74.17K","2.48%"
"Jan 20, 2019","3,148.9","3,274.8","3,312.0","3,065.1","71.33K","-3.84%"
"Jan 27, 2019","3,054.4","3,160.0","3,177.2","2,949.1","78.54K","-3.00%"
"Feb 03, 2019","3,219.9","3,054.9","3,283.0","2,961.7","79.83K","5.42%"
"Feb 10, 2019","3,211.2","3,219.9","3,279.0","3,175.4","61.70K","-0.27%"
"Feb 17, 2019","3,657.0","3,211.2","3,694.2","3,189.3","82.62K","13.88%"
"Feb 24, 2019","3,393.6","3,657.0","3,723.1","3,270.7","78.34K","-7.20%"
"Mar 03, 2019","3,510.3","3,394.3","3,539.0","3,278.5","64.33K","3.44%"
"Mar 10, 2019","3,554.2","3,510.4","3,593.0","3,395.4","57.29K","1.25%"
"Mar 17, 2019","3,535.8","3,571.3","3,591.2","3,498.9","53.40K","-0.52%"
"Mar 24, 2019","3,665.0","3,535.3","3,704.1","3,443.8","60.30K","3.65%"
"Mar 31, 2019","4,516.5","3,665.0","4,744.8","3,651.4","120.69K","23.23%"
"Apr 07, 2019","4,528.1","4,529.1","4,846.2","4,402.3","87.64K","0.26%"
"Apr 14, 2019","4,750.0","4,528.2","4,785.1","4,414.7","57.81K","4.90%"
"Apr 21, 2019","4,708.0","4,749.9","5,039.5","4,571.3","93.61K","-0.88%"
"Apr 28, 2019","5,214.3","4,706.8","5,249.3","4,617.5","81.33K","10.75%"
"May 05, 2019","6,339.7","5,214.3","6,545.2","5,075.2","96.89K","21.58%"
"May 12, 2019","6,549.9","6,335.9","7,465.5","6,010.5","231.09K","3.32%"
"May 19, 2019","7,223.7","6,549.9","7,427.1","6,546.9","107.92K","10.29%"
"May 26, 2019","7,711.0","7,223.7","8,162.8","7,081.3","115.07K","6.75%"
"Jun 02, 2019","7,062.8","7,708.2","7,951.0","6,647.4","98.56K","-8.41%"
