"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 02, 2014","121.83","120.52","123.21","120.35","6.95K","0.12%"
"Mar 09, 2014","119.90","122.08","122.44","119.46","5.72K","-1.58%"
"Mar 16, 2014","123.07","119.61","123.09","119.61","4.64K","2.64%"
"Mar 23, 2014","122.27","122.27","122.70","121.18","17.74K","-0.65%"
"Mar 30, 2014","124.22","122.57","124.89","122.01","4.13K","1.59%"
"Apr 06, 2014","119.03","122.36","122.36","118.55","5.69K","-4.18%"
"Apr 13, 2014","121.67","118.69","121.57","118.69","4.56K","2.22%"
"Apr 20, 2014","121.67","122.58","123.30","122.17","7.74K","0.00%"
"Apr 27, 2014","122.59","121.98","123.33","121.76","8.45K","0.76%"
"May 04, 2014","122.80","121.84","122.99","120.97","2.19K","0.17%"
"May 11, 2014","123.49","123.50","125.34","123.22","3.30K","0.56%"
"May 18, 2014","126.00","123.66","125.80","123.39","9.21K","2.03%"
"May 25, 2014","127.47","126.13","127.50","126.13","10.27K","1.17%"
"Jun 01, 2014","129.34","128.04","129.34","127.45","21.45K","1.47%"
"Jun 08, 2014","129.57","129.43","130.33","128.86","4.61K","0.18%"
"Jun 15, 2014","130.90","129.20","131.09","129.14","6.76K","1.03%"
"Jun 22, 2014","130.03","130.71","131.13","129.50","12.84K","-0.66%"
"Jun 29, 2014","132.19","129.00","132.36","129.00","7.23K","1.66%"
"Jul 06, 2014","130.77","132.23","132.24","130.21","12.31K","-1.07%"
"Jul 13, 2014","132.28","131.52","132.97","131.30","6.00K","1.15%"
"Jul 20, 2014","133.42","132.30","134.12","131.92","14.08K","0.86%"
"Jul 27, 2014","130.04","134.76","134.76","129.95","17.89K","-2.53%"
"Aug 03, 2014","129.73","130.55","131.36","128.57","20.38K","-0.24%"
"Aug 10, 2014","132.60","130.41","132.42","130.41","8.83K","2.21%"
"Aug 17, 2014","136.68","133.28","136.68","133.28","4.90K","3.08%"
"Aug 24, 2014","138.22","137.56","138.26","137.24","26.70K","1.13%"
"Aug 31, 2014","140.02","138.48","141.03","138.38","23.83K","1.30%"
"Sep 07, 2014","139.83","140.97","141.45","139.64","16.28K","-0.14%"
"Sep 14, 2014","142.63","139.10","142.94","138.30","44.33K","2.00%"
"Sep 21, 2014","141.14","144.00","144.00","139.94","111.12K","-1.04%"
"Sep 28, 2014","142.75","141.56","143.44","139.31","30.44K","1.14%"
"Oct 05, 2014","138.27","143.44","143.44","137.95","115.27K","-3.14%"
"Oct 12, 2014","135.25","141.00","141.00","128.47","98.57K","-2.18%"
"Oct 19, 2014","140.76","137.07","142.99","134.03","78.48K","4.07%"
"Oct 26, 2014","146.35","141.41","146.81","140.18","45.09K","3.97%"
"Nov 02, 2014","149.40","146.99","150.09","143.13","55.91K","2.08%"
"Nov 09, 2014","149.20","148.40","152.42","148.12","52.31K","-0.13%"
"Nov 16, 2014","151.99","147.99","152.26","147.99","39.32K","1.87%"
"Nov 23, 2014","152.16","151.76","152.45","150.88","24.92K","0.11%"
"Nov 30, 2014","154.06","151.10","154.24","146.98","105.19K","1.25%"
"Dec 07, 2014","147.72","154.15","155.64","147.76","52.60K","-4.12%"
"Dec 14, 2014","154.23","147.23","154.29","143.60","209.47K","4.41%"
"Dec 21, 2014","156.35","152.80","156.74","152.80","62.39K","1.37%"
